gaia_dr3,cap,FeH,vmic,nFeI,railed_any,n_spectra
2759121045748142848,w140,0.3998,1.545,77.0,0,1
2759121045748142848,w120,0.4549,1.315,75.0,0,1
2759121045748142848,w100,0.4668,1.25,67.0,0,1
1810432623428484992,full,0.3809,2.3,61.0,0,1
1810432623428484992,w140,0.3809,2.3,61.0,0,1
1810432623428484992,w120,0.4113,2.136,59.0,0,1
1810432623428484992,w100,0.3943,2.267,54.0,0,1
2241587416547315584,full,0.2919,2.316,63.0,0,1
2241587416547315584,w140,0.2919,2.316,63.0,0,1
2241587416547315584,w120,0.2919,2.3,61.0,0,1
2241587416547315584,w100,0.3024,2.332,52.0,0,1
1969914723446419072,full,0.2573,1.529,77.0,0,1
1969914723446419072,w140,0.2573,1.529,77.0,0,1
1969914723446419072,w120,0.3563,1.118,72.0,0,1
1969914723446419072,w100,0.367,1.086,61.0,0,1
2105262611951880320,full,0.4314,1.496,62.0,0,1
2105262611951880320,w140,0.4314,1.496,62.0,0,1
2105262611951880320,w120,0.4281,1.496,61.0,0,1
2105262611951880320,w100,0.4834,1.266,50.0,0,1
2222930319131123584,full,0.3468,1.414,77.0,0,1
2222930319131123584,w140,0.3468,1.414,77.0,0,1
2222930319131123584,w120,0.412,1.118,72.0,0,1
2222930319131123584,w100,0.4289,1.053,63.0,0,1
2034483990505147904,full,0.3912,1.611,77.0,0,1
2034483990505147904,w140,0.3992,1.578,76.0,0,1
2034483990505147904,w120,0.4591,1.25,71.0,0,1
2034483990505147904,w100,0.4699,1.2,62.0,0,1
2207311069265753088,full,0.3831,1.43,77.0,0,1
2207311069265753088,w140,0.3831,1.43,77.0,0,1
2207311069265753088,w120,0.4551,1.118,72.0,0,1
2207311069265753088,w100,0.4452,1.118,63.0,0,1
1332825044549520640,full,0.0418,2.234,61.0,0,1
1332825044549520640,w140,0.1622,1.873,47.0,0,1
1332825044549520640,w120,0.1837,1.66,40.0,0,1
1332825044549520640,w100,0.2744,1.43,32.0,0,1
1972949478614475520,full,0.4327,1.561,77.0,0,1
1972949478614475520,w140,0.4327,1.561,77.0,0,1
1972949478614475520,w120,0.4813,1.381,76.0,0,1
1972949478614475520,w100,0.4911,1.332,68.0,0,1
1835520283318364800,full,0.3634,1.43,61.0,0,1
1835520283318364800,w140,0.3634,1.43,61.0,0,1
1835520283318364800,w120,0.3576,1.397,54.0,0,1
1835520283318364800,w100,0.3892,1.282,47.0,0,1
4591824513402826112,full,-0.075,2.464,52.0,0,1
4591824513402826112,w140,0.1481,1.693,37.0,0,1
4591824513402826112,w120,0.0981,1.857,32.0,0,1
4591824513402826112,w100,0.2207,1.529,25.0,0,1
1577822554777070208,full,0.1347,2.054,67.0,0,1
1577822554777070208,w140,0.2258,1.676,57.0,0,1
1577822554777070208,w120,0.2721,1.545,52.0,0,1
1577822554777070208,w100,0.3161,1.315,40.0,0,1
744784953040324864,full,0.2651,1.66,58.0,0,1
744784953040324864,w140,0.3502,1.381,53.0,0,1
744784953040324864,w120,0.396,1.266,47.0,0,1
744784953040324864,w100,0.4868,0.954,37.0,0,1
1050440187607443712,full,0.4335,1.217,78.0,0,1
1050440187607443712,w140,0.4335,1.217,78.0,0,1
1050440187607443712,w120,0.452,1.168,74.0,0,1
1050440187607443712,w100,0.4547,1.151,65.0,0,1
1289565687269465600,full,0.3495,1.43,80.0,0,1
1289565687269465600,w140,0.3495,1.43,80.0,0,1
1289565687269465600,w120,0.4035,1.2,78.0,0,1
1289565687269465600,w100,0.4035,1.2,66.0,0,1
1315367857917145856,full,0.3833,1.512,80.0,0,1
1315367857917145856,w140,0.4496,1.282,79.0,0,1
1315367857917145856,w120,0.4625,1.233,75.0,0,1
1315367857917145856,w100,0.4682,1.184,65.0,0,1
1427663587506214784,full,0.3539,1.43,80.0,0,1
1427663587506214784,w140,0.3539,1.43,80.0,0,1
1427663587506214784,w120,0.4013,1.217,79.0,0,1
1427663587506214784,w100,0.4057,1.2,71.0,0,1
1518538605793638656,full,0.3065,1.479,80.0,0,1
1518538605793638656,w140,0.3065,1.479,80.0,0,1
1518538605793638656,w120,0.3568,1.266,79.0,0,1
1518538605793638656,w100,0.3638,1.233,69.0,0,1
1664530724642168448,full,0.3772,1.561,80.0,0,1
1664530724642168448,w140,0.44,1.332,79.0,0,1
1664530724642168448,w120,0.4551,1.282,76.0,0,1
1664530724642168448,w100,0.4659,1.25,65.0,0,1
1812617348721111552,full,0.2786,1.873,77.0,0,1
1812617348721111552,w140,0.2786,1.873,77.0,0,1
1812617348721111552,w120,0.3271,1.561,74.0,0,1
1812617348721111552,w100,0.3251,1.594,63.0,0,1
2076073979856273664,full,0.5179,1.611,78.0,0,1
2076073979856273664,w140,0.5179,1.611,78.0,0,1
2076073979856273664,w120,0.52,1.594,77.0,0,1
2076073979856273664,w100,0.5521,1.446,69.0,0,1
2250991230259434496,full,0.3191,1.66,80.0,0,1
2250991230259434496,w140,0.3191,1.66,80.0,0,1
2250991230259434496,w120,0.3191,1.66,80.0,0,1
2250991230259434496,w100,0.3421,1.529,72.0,0,1
2882288059116860928,full,0.3375,1.922,76.0,0,1
2882288059116860928,w140,0.3375,1.922,76.0,0,1
2882288059116860928,w120,0.3956,1.578,72.0,0,1
2882288059116860928,w100,0.3962,1.578,65.0,0,1
3825993705211972864,full,0.2023,2.021,49.0,0,1
3825993705211972864,w140,0.3226,1.709,41.0,0,1
3825993705211972864,w120,0.3591,1.463,38.0,0,1
3825993705211972864,w100,0.4531,1.102,31.0,0,1
3944854382508327936,full,0.4469,1.561,73.0,0,2
3944854382508327936,w140,0.4752,1.446,71.0,0,2
3944854382508327936,w120,0.4744,1.454,66.5,0,2
3944854382508327936,w100,0.5084,1.315,56.0,0,2
4006726444423916544,full,0.3333,1.463,80.0,0,1
4006726444423916544,w140,0.3333,1.463,80.0,0,1
4006726444423916544,w120,0.3973,1.233,77.0,0,1
4006726444423916544,w100,0.4056,1.184,67.0,0,1
4311008797037316224,full,0.4107,1.299,77.0,0,2
4311008797037316224,w140,0.4107,1.299,77.0,0,2
4311008797037316224,w120,0.421,1.233,72.0,0,2
4311008797037316224,w100,0.4206,1.216,62.5,0,2
4430730494968490368,full,0.4633,1.135,79.0,0,1
4430730494968490368,w140,0.4633,1.135,79.0,0,1
4430730494968490368,w120,0.4935,1.036,74.0,0,1
4430730494968490368,w100,0.4939,1.004,63.0,0,1
4463900836634494720,full,0.5379,1.168,78.0,0,1
4463900836634494720,w140,0.5379,1.168,78.0,0,1
4463900836634494720,w120,0.5428,1.118,74.0,0,1
4463900836634494720,w100,0.5597,1.036,65.0,0,1
4492635198637928448,full,0.3098,1.545,57.0,0,1
4492635198637928448,w140,0.3907,1.25,52.0,0,1
4492635198637928448,w120,0.4113,1.2,47.0,0,1
4492635198637928448,w100,0.4824,0.889,37.0,0,1
4501987885065205248,full,0.3164,1.775,76.0,0,1
4501987885065205248,w140,0.3164,1.775,76.0,0,1
4501987885065205248,w120,0.3593,1.529,71.0,0,1
4501987885065205248,w100,0.3862,1.381,60.0,0,1
4537290729532341120,full,0.4172,1.282,72.0,0,1
4537290729532341120,w140,0.4172,1.282,72.0,0,1
4537290729532341120,w120,0.4172,1.282,72.0,0,1
4537290729532341120,w100,0.4393,1.168,64.0,0,1
4563963404148476800,full,0.4381,1.2,79.0,0,1
4563963404148476800,w140,0.4381,1.2,79.0,0,1
4563963404148476800,w120,0.4443,1.184,77.0,0,1
4563963404148476800,w100,0.4754,1.069,65.0,0,1
